Period,Balance Total,Balance Goods BOP,Balance Services,Exports Total,Exports Goods BOP,Exports Services,Imports Total ,Imports Goods BOP,Imports Services
1960,"3,508","4,892","-1,384","25,940","19,650","6,290","22,432","14,758","7,674"
1961,"4,195","5,571","-1,376","26,403","20,108","6,295","22,208","14,537","7,671"
1962,"3,370","4,521","-1,151","27,722","20,781","6,941","24,352","16,260","8,092"
1963,"4,210","5,224","-1,014","29,620","22,272","7,348","25,410","17,048","8,362"
1964,"6,022","6,801",-779,"33,341","25,501","7,840","27,319","18,700","8,619"
1965,"4,664","4,951",-287,"35,285","26,461","8,824","30,621","21,510","9,111"
1966,"2,939","3,817",-878,"38,926","29,310","9,616","35,987","25,493","10,494"
1967,"2,604","3,800","-1,196","41,333","30,666","10,667","38,729","26,866","11,863"
1968,250,635,-385,"45,543","33,626","11,917","45,293","32,991","12,302"
1969,91,607,-516,"49,220","36,414","12,806","49,129","35,807","13,322"
1970,"2,254","2,603",-349,"56,640","42,469","14,171","54,386","39,866","14,520"
1971,"-1,302","-2,260",958,"59,677","43,319","16,358","60,979","45,579","15,400"
1972,"-5,443","-6,416",973,"67,222","49,381","17,841","72,665","55,797","16,868"
1973,"1,900",911,989,"91,242","71,410","19,832","89,342","70,499","18,843"
1974,"-4,293","-5,505","1,212","1,20,897","98,306","22,591","1,25,190","1,03,811","21,379"
1975,"12,404","8,903","3,501","1,32,585","1,07,088","25,497","1,20,181","98,185","21,996"
1976,"-6,082","-9,483","3,401","1,42,716","1,14,745","27,971","1,48,798","1,24,228","24,570"
1977,"-27,246","-31,091","3,845","1,52,301","1,20,816","31,485","1,79,547","1,51,907","27,640"
1978,"-29,763","-33,927","4,164","1,78,428","1,42,075","36,353","2,08,191","1,76,002","32,189"
1979,"-24,565","-27,568","3,003","2,24,131","1,84,439","39,692","2,48,696","2,12,007","36,689"
1980,"-19,407","-25,500","6,093","2,71,834","2,24,250","47,584","2,91,241","2,49,750","41,491"
1981,"-16,172","-28,023","11,851","2,94,398","2,37,044","57,354","3,10,570","2,65,067","45,503"
1982,"-24,156","-36,485","12,329","2,75,236","2,11,157","64,079","2,99,391","2,47,642","51,749"
1983,"-57,767","-67,102","9,335","2,66,106","2,01,799","64,307","3,23,874","2,68,901","54,973"
1984,"-1,09,072","-1,12,492","3,420","2,91,094","2,19,926","71,168","4,00,166","3,32,418","67,748"
1985,"-1,21,880","-1,22,173",294,"2,89,070","2,15,915","73,155","4,10,950","3,38,088","72,862"
1986,"-1,38,538","-1,45,081","6,543","3,10,033","2,23,344","86,689","4,48,572","3,68,425","80,147"
1987,"-1,51,684","-1,59,557","7,874","3,48,869","2,50,208","98,661","5,00,552","4,09,765","90,787"
1988,"-1,14,566","-1,26,959","12,393","4,31,149","3,20,230","1,10,919","5,45,715","4,47,189","98,526"
1989,"-93,141","-1,17,749","24,607","4,87,003","3,59,916","1,27,087","5,80,144","4,77,665","1,02,479"
1990,"-80,864","-1,11,037","30,173","5,35,233","3,87,401","1,47,832","6,16,097","4,98,438","1,17,659"
1991,"-31,135","-76,937","45,802","5,78,344","4,14,083","1,64,261","6,09,479","4,91,020","1,18,459"
1992,"-39,212","-96,897","57,685","6,16,882","4,39,631","1,77,251","6,56,094","5,36,528","1,19,566"
1993,"-70,311","-1,32,451","62,141","6,42,863","4,56,943","1,85,920","7,13,174","5,89,394","1,23,780"
1994,"-98,493","-1,65,831","67,338","7,03,254","5,02,859","2,00,395","8,01,747","6,68,690","1,33,057"
1995,"-96,384","-1,74,170","77,786","7,94,387","5,75,204","2,19,183","8,90,771","7,49,374","1,41,397"
1996,"-1,04,065","-1,91,000","86,935","8,51,602","6,12,113","2,39,489","9,55,667","8,03,113","1,52,554"
1997,"-1,08,273","-1,98,428","90,155","9,34,453","6,78,366","2,56,087","10,42,726","8,76,794","1,65,932"
1998,"-1,66,140","-2,48,221","82,081","9,33,174","6,70,416","2,62,758","10,99,314","9,18,637","1,80,677"
1999,"-2,58,617","-3,37,068","78,450","9,69,867","6,98,524","2,71,343","12,28,485","10,35,592","1,92,893"
2000,"-3,72,517","-4,46,783","74,266","10,75,321","7,84,940","2,90,381","14,47,837","12,31,722","2,16,115"
2001,"-3,61,511","-4,22,370","60,858","10,05,654","7,31,331","2,74,323","13,67,165","11,53,701","2,13,465"
2002,"-4,18,955","-4,75,245","56,290","9,78,706","6,98,036","2,80,670","13,97,660","11,73,281","2,24,379"
2003,"-4,93,890","-5,41,643","47,754","10,20,418","7,30,446","2,89,972","15,14,308","12,72,089","2,42,219"
2004,"-6,09,883","-6,64,766","54,882","11,61,549","8,23,584","3,37,966","17,71,433","14,88,349","2,83,083"
2005,"-7,14,245","-7,82,804","68,558","12,86,022","9,13,016","3,73,006","20,00,267","16,95,820","3,04,448"
2006,"-7,61,716","-8,37,289","75,573","14,57,642","10,40,905","4,16,738","22,19,358","18,78,194","3,41,165"
2007,"-7,05,375","-8,21,196","1,15,821","16,53,548","11,65,151","4,88,396","23,58,922","19,86,347","3,72,575"
2008,"-7,08,726","-8,32,492","1,23,765","18,41,612","13,08,795","5,32,817","25,50,339","21,41,287","4,09,052"
2009,"-3,83,774","-5,09,694","1,25,920","15,83,053","10,70,331","5,12,722","19,66,827","15,80,025","3,86,801"
2010,"-4,94,658","-6,48,678","1,54,020","18,53,606","12,90,273","5,63,333","23,48,263","19,38,950","4,09,313"
2011,"-5,48,625","-7,40,646","1,92,020","21,27,021","14,99,240","6,27,781","26,75,646","22,39,886","4,35,761"
2012,"-5,36,773","-7,41,171","2,04,398","22,18,989","15,62,578","6,56,411","27,55,762","23,03,749","4,52,013"
2013,"-4,61,876","-7,02,244","2,40,368","22,93,457","15,92,002","7,01,455","27,55,334","22,94,247","4,61,087"
2014,"-4,90,176","-7,52,169","2,61,993","23,76,577","16,33,320","7,43,257","28,66,754","23,85,489","4,81,264"
2015,"-5,00,361","-7,62,565","2,62,203","22,61,163","15,10,303","7,50,860","27,61,525","22,72,868","4,88,657"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,